Issue Type,Summary,Description,Story Points,Epic Link,Assignee,Depends On
Story,RED-001 League Season Core,"Implement redraft league-season lifecycle with archive and reset semantics.",8,REDRAFT-SYS,ENG-PLAT,
Story,RED-002 Rules Versioning,"Add versioned league settings snapshots and immutable historical rule references.",8,REDRAFT-SYS,ENG-PLAT,RED-001
Story,RED-003 Redraft Guardrails,"Block keeper and dynasty carryover fields in redraft mode across API and validation layers.",5,REDRAFT-SYS,ENG-PLAT,RED-001
Story,RED-004 Core Schema Migration Set,"Create base schema for leagues, seasons, settings, teams, and memberships.",8,REDRAFT-SYS,ENG-DATA,RED-001
Story,RED-005 Sport Profile Registry v1,"Implement sport profile registry for NFL, NBA, MLB, NHL, NCAAB, NCAAF, and Soccer.",8,REDRAFT-SYS,ENG-GAME,RED-001
Story,RED-006 Roles and Permissions Baseline,"Enforce commissioner, manager, and viewer permission model on league mutations.",6,REDRAFT-SYS,ENG-PLAT,RED-001
Story,RED-007 Audit Logging Framework,"Add mutation audit logging with actor, timestamp, and trace id metadata.",5,REDRAFT-SYS,ENG-PLAT,RED-001
Story,RED-008 CI Migration Gate,"Add CI checks for migration forward/rollback and schema drift protection.",4,REDRAFT-SYS,ENG-DATA,RED-004
Story,RED-009 Draft State Machine,"Implement draft entities and state machine for snake, linear, and auction flows.",8,REDRAFT-SYS,ENG-GAME,RED-004;RED-005
Story,RED-010 Draft Timer Auto-Pick Worker,"Process draft pick timer expirations and fallback auto-picks with audit events.",8,REDRAFT-SYS,ENG-DATA,RED-009
Story,RED-011 Draft APIs,"Implement start draft and make pick APIs with turn and legality validation.",8,REDRAFT-SYS,ENG-PLAT,RED-009;RED-006
Story,RED-012 Roster and Lineup Model,"Create roster, slot, lineup, and lock event data model.",8,REDRAFT-SYS,ENG-GAME,RED-004;RED-005
Story,RED-013 Lineup Instant-Apply API,"Implement mobile-first instant lineup mutation endpoint with lock checks.",8,REDRAFT-SYS,ENG-PLAT,RED-012
Story,RED-014 Schedule Generator v1,"Generate balanced schedules with odd-team bye support and fairness checks.",6,REDRAFT-SYS,ENG-GAME,RED-004;RED-005
Story,RED-015 Realtime Draft and Lineup Channels,"Broadcast draft and lineup events in real time with ordering metadata.",4,REDRAFT-SYS,ENG-RT,RED-011;RED-013
Story,RED-016 Settings API Hardening,"Harden league create and settings patch route contracts for redraft behavior.",4,REDRAFT-SYS,ENG-PLAT,RED-002;RED-003
